"id","am_priref","ec_id","am_uri","ec_uri","name_exact","name_fuzzy","rkd_uri","bd_years","bd_dates","matched"
"32431","23919","19414",,"http://www.vondel.humanities.uva.nl/ecartico/persons/19414","0","1","0","1","0","1"
"32353","31452","19181",,"http://www.vondel.humanities.uva.nl/ecartico/persons/19181","0","1","0","1","0","1"
"32345","13978","6292",,"http://www.vondel.humanities.uva.nl/ecartico/persons/6292","0","1","1","1","1","1"
"32339","23728","6183",,"http://www.vondel.humanities.uva.nl/ecartico/persons/6183","0","1","1","1","0","1"
"32336","23726","10823",,"http://www.vondel.humanities.uva.nl/ecartico/persons/10823","0","1","1","1","0","1"
"32331","31200","6120",,"http://www.vondel.humanities.uva.nl/ecartico/persons/6120","0","1","1","1","0","1"
"32325","23711","6103",,"http://www.vondel.humanities.uva.nl/ecartico/persons/6103","0","1","0","1","0","1"
"32322","79075","6078",,"http://www.vondel.humanities.uva.nl/ecartico/persons/6078","0","1","0","1","1","1"
"32318","31079","6157",,"http://www.vondel.humanities.uva.nl/ecartico/persons/6157","0","1","0","1","0","1"
"32315","31073","6023",,"http://www.vondel.humanities.uva.nl/ecartico/persons/6023","0","1","0","1","0","1"
"32313","31072","7265",,"http://www.vondel.humanities.uva.nl/ecartico/persons/7265","0","1","0","1","0","1"
"32369","63821","6460",,"http://www.vondel.humanities.uva.nl/ecartico/persons/6460","0","1","0","1","0","1"
"32373","23816","6522",,"http://www.vondel.humanities.uva.nl/ecartico/persons/6522","0","1","1","1","0","1"
"32385","31761","6612",,"http://www.vondel.humanities.uva.nl/ecartico/persons/6612","0","1","0","1","0","1"
"32429","59338","11714",,"http://www.vondel.humanities.uva.nl/ecartico/persons/11714","0","1","0","1","0","1"
"32426","32162","7010",,"http://www.vondel.humanities.uva.nl/ecartico/persons/7010","0","0","1","1","0","1"
"32422","32103","19382",,"http://www.vondel.humanities.uva.nl/ecartico/persons/19382","0","1","0","1","0","1"
"32407","32031","6839",,"http://www.vondel.humanities.uva.nl/ecartico/persons/6839","0","1","0","1","0","1"
"32403","31911","6748",,"http://www.vondel.humanities.uva.nl/ecartico/persons/6748","0","1","0","1","1","1"
"32401","31903","19312",,"http://www.vondel.humanities.uva.nl/ecartico/persons/19312","0","1","0","1","0","1"
"32398","80348","6677",,"http://www.vondel.humanities.uva.nl/ecartico/persons/6677","0","1","0","1","0","1"
"32393","31818","6636",,"http://www.vondel.humanities.uva.nl/ecartico/persons/6636","0","1","0","1","0","1"
"32392","63832","13313",,"http://www.vondel.humanities.uva.nl/ecartico/persons/13313","0","0","1","1","0","1"
"32387","31767","6613",,"http://www.vondel.humanities.uva.nl/ecartico/persons/6613","0","1","1","1","0","1"
"32311","31045","5981",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5981","0","1","0","1","0","1"
"32310","13200","5980",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5980","0","1","1","1","0","1"
"32225","30472","5351",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5351","0","1","1","1","0","1"
"32222","30457","5335",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5335","0","1","0","1","0","1"
"32218","30437","5314",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5314","0","0","1","1","0","1"
"32217","30402","5285",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5285","0","1","0","1","1","1"
"32216","23553","5550",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5550","0","1","1","1","0","1"
"32209","23551","5267",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5267","0","1","1","1","0","1"
"32207","30380","5266",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5266","0","1","1","1","1","1"
"32204","30361","5257",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5257","0","1","1","1","0","1"
"32199","30281","18840",,"http://www.vondel.humanities.uva.nl/ecartico/persons/18840","0","1","0","1","0","1"
"32198","30262","12289",,"http://www.vondel.humanities.uva.nl/ecartico/persons/12289","0","1","0","1","0","1"
"32226","79197","5475",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5475","0","1","0","1","0","1"
"32229","11975","5483",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5483","0","1","1","1","0","1"
"32232","30525","5507",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5507","0","1","1","1","0","1"
"32281","30859","5806",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5806","0","1","1","1","0","1"
"32280","23652","5805",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5805","0","1","1","1","0","1"
"32275","30795","18979",,"http://www.vondel.humanities.uva.nl/ecartico/persons/18979","0","1","0","1","0","1"
"32270","67683","5702",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5702","0","1","1","1","0","1"
"32266","55854","5679",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5679","0","1","0","1","0","1"
"32262","12405","5634",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5634","0","1","0","1","0","1"
"32256","23607","5606",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5606","0","1","1","1","0","1"
"32245","23595","5562",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5562","0","1","0","1","0","1"
"32238","30567","18919",,"http://www.vondel.humanities.uva.nl/ecartico/persons/18919","0","1","0","1","0","1"
"32236","30544","5517",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5517","0","1","0","1","0","1"
"32194","30180","4890",,"http://www.vondel.humanities.uva.nl/ecartico/persons/4890","0","1","1","1","1","1"
"32437","16134","7074",,"http://www.vondel.humanities.uva.nl/ecartico/persons/7074","0","1","1","1","0","1"
"33156","32396","7322",,"http://www.vondel.humanities.uva.nl/ecartico/persons/7322","0","1","1","1","0","1"
"32694","55670","982",,"http://www.vondel.humanities.uva.nl/ecartico/persons/982","0","1","1","1","0","1"
"32665","26342","878",,"http://www.vondel.humanities.uva.nl/ecartico/persons/878","0","1","1","1","0","1"
"32658","26268","835",,"http://www.vondel.humanities.uva.nl/ecartico/persons/835","0","1","1","1","0","1"
"32635","22789","676",,"http://www.vondel.humanities.uva.nl/ecartico/persons/676","0","1","1","1","0","1"
"32630","25995","671",,"http://www.vondel.humanities.uva.nl/ecartico/persons/671","0","1","1","1","0","1"
"32608","79624","8511",,"http://www.vondel.humanities.uva.nl/ecartico/persons/8511","0","1","1","1","0","1"
"32600","19123","8425",,"http://www.vondel.humanities.uva.nl/ecartico/persons/8425","0","1","1","1","0","1"
"32598","33364","8979",,"http://www.vondel.humanities.uva.nl/ecartico/persons/8979","0","1","0","1","1","1"
"32597","33353","19815",,"http://www.vondel.humanities.uva.nl/ecartico/persons/19815","0","1","0","1","0","1"
"32594","18990","8368",,"http://www.vondel.humanities.uva.nl/ecartico/persons/8368","0","1","0","1","0","1"
"32740","79084","1459",,"http://www.vondel.humanities.uva.nl/ecartico/persons/1459","0","1","1","1","0","1"
"32746","27079","1580",,"http://www.vondel.humanities.uva.nl/ecartico/persons/1580","0","1","0","1","0","1"
"32846","28488","3346",,"http://www.vondel.humanities.uva.nl/ecartico/persons/3346","0","1","0","1","0","1"
"33127","31808","6639",,"http://www.vondel.humanities.uva.nl/ecartico/persons/6639","0","1","1","1","0","1"
"33107","79617","6458",,"http://www.vondel.humanities.uva.nl/ecartico/persons/6458","0","1","0","1","0","1"
"33103","31615","6432",,"http://www.vondel.humanities.uva.nl/ecartico/persons/6432","0","0","1","1","0","1"
"33072","78998","6119",,"http://www.vondel.humanities.uva.nl/ecartico/persons/6119","0","1","1","1","0","1"
"33048","25239","5891",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5891","0","1","0","1","0","1"
"33018","12293","5589",,"http://www.vondel.humanities.uva.nl/ecartico/persons/5589","0","1","0","1","0","1"
"32977","30184","4892",,"http://www.vondel.humanities.uva.nl/ecartico/persons/4892","0","1","1","1","0","1"
"32943","64630","4369",,"http://www.vondel.humanities.uva.nl/ecartico/persons/4369","0","1","0","1","0","1"
"32876","28709","3572",,"http://www.vondel.humanities.uva.nl/ecartico/persons/3572","0","1","0","1","0","1"
"32862","28630","3474",,"http://www.vondel.humanities.uva.nl/ecartico/persons/3474","0","0","1","1","0","1"
"32591","33337","8367",,"http://www.vondel.humanities.uva.nl/ecartico/persons/8367","0","1","1","1","0","1"
"32586","33322","19798",,"http://www.vondel.humanities.uva.nl/ecartico/persons/19798","0","1","0","1","0","1"
"32476","32570","7510",,"http://www.vondel.humanities.uva.nl/ecartico/persons/7510","0","1","0","1","0","1"
"32461","16718","7909",,"http://www.vondel.humanities.uva.nl/ecartico/persons/7909","0","1","0","1","0","1"
"32460","32401","7328",,"http://www.vondel.humanities.uva.nl/ecartico/persons/7328","0","1","1","1","0","1"
"32459","32400","7327",,"http://www.vondel.humanities.uva.nl/ecartico/persons/7327","0","1","1","1","0","1"
"32455","32364","19482",,"http://www.vondel.humanities.uva.nl/ecartico/persons/19482","0","1","0","1","0","1"
"32448","32294","19450",,"http://www.vondel.humanities.uva.nl/ecartico/persons/19450","0","1","0","1","0","1"
"32447","32293","19447",,"http://www.vondel.humanities.uva.nl/ecartico/persons/19447","0","1","0","1","0","1"
"32446","32292","19449",,"http://www.vondel.humanities.uva.nl/ecartico/persons/19449","0","1","0","1","0","1"
"32443","23942","7174",,"http://www.vondel.humanities.uva.nl/ecartico/persons/7174","0","1","0","1","0","1"
"32440","53853","7169",,"http://www.vondel.humanities.uva.nl/ecartico/persons/7169","0","1","0","1","0","1"
"32485","32623","7569",,"http://www.vondel.humanities.uva.nl/ecartico/persons/7569","0","1","0","1","0","1"
"32487","17340","7615",,"http://www.vondel.humanities.uva.nl/ecartico/persons/7615","0","1","0","1","0","1"
"32488","17347","7622",,"http://www.vondel.humanities.uva.nl/ecartico/persons/7622","0","1","0","1","0","1"
"32581","38182","12923",,"http://www.vondel.humanities.uva.nl/ecartico/persons/12923","0","1","0","1","0","1"
"32569","33239","8702",,"http://www.vondel.humanities.uva.nl/ecartico/persons/8702","0","1","1","1","0","1"
"32555","18087","19686",,"http://www.vondel.humanities.uva.nl/ecartico/persons/19686","0","1","0","1","0","1"
"32545","33017","7983",,"http://www.vondel.humanities.uva.nl/ecartico/persons/7983","0","1","1","1","0","1"
"32538","32984","7946",,"http://www.vondel.humanities.uva.nl/ecartico/persons/7946","0","1","0","1","0","1"
"32505","32857","7826",,"http://www.vondel.humanities.uva.nl/ecartico/persons/7826","0","1","1","1","0","1"
"32500","24032","412",,"http://www.vondel.humanities.uva.nl/ecartico/persons/412","0","1","1","1","0","1"
"32497","32781","7758",,"http://www.vondel.humanities.uva.nl/ecartico/persons/7758","0","1","1","1","0","1"
"32491","32713","7653",,"http://www.vondel.humanities.uva.nl/ecartico/persons/7653","0","1","0","1","0","1"
"32490","24023","7639",,"http://www.vondel.humanities.uva.nl/ecartico/persons/7639","0","1","0","1","0","1"
"32438","32226","7091",,"http://www.vondel.humanities.uva.nl/ecartico/persons/7091","0","1","0","1","0","1"
"32190","23484","4847",,"http://www.vondel.humanities.uva.nl/ecartico/persons/4847","0","1","1","1","0","1"
"31994","28461","3316",,"http://www.vondel.humanities.uva.nl/ecartico/persons/3316","0","0","1","1","1","1"
"31913","27576","2349",,"http://www.vondel.humanities.uva.nl/ecartico/persons/2349","0","1","1","1","0","1"
"31911","27574","2345",,"http://www.vondel.humanities.uva.nl/ecartico/persons/2345","0","1","1","1","0","1"
"31904","22976","2272",,"http://www.vondel.humanities.uva.nl/ecartico/persons/2272","0","1","1","1","0","1"
"31900","27511","2216",,"http://www.vondel.humanities.uva.nl/ecartico/persons/2216","0","1","1","1","0","1"
"31899","27477","17856",,"http://www.vondel.humanities.uva.nl/ecartico/persons/17856","0","1","0","1","0","1"
"31896","27443","3410",,"http://www.vondel.humanities.uva.nl/ecartico/persons/3410","0","1","0","1","0","1"
"31894","27422","17842",,"http://www.vondel.humanities.uva.nl/ecartico/persons/17842","0","1","0","1","0","1"
"31892","27371","1919",,"http://www.vondel.humanities.uva.nl/ecartico/persons/1919","0","1","1","1","0","1"
"31891","27365","1890",,"http://www.vondel.humanities.uva.nl/ecartico/persons/1890","0","1","1","1","0","1"
"31890","27363","1884",,"http://www.vondel.humanities.uva.nl/ecartico/persons/1884","0","1","1","1","0","1"
"31921","27743","2445",,"http://www.vondel.humanities.uva.nl/ecartico/persons/2445","0","1","0","1","0","1"
"31924","27753","17926",,"http://www.vondel.humanities.uva.nl/ecartico/persons/17926","0","1","0","1","0","1"
"31925","27759","263",,"http://www.vondel.humanities.uva.nl/ecartico/persons/263","0","1","0","1","1","1"
"31983","28383","3197",,"http://www.vondel.humanities.uva.nl/ecartico/persons/3197","0","1","0","1","0","1"
"31982","28327","18111",,"http://www.vondel.humanities.uva.nl/ecartico/persons/18111","0","1","0","1","0","1"
"31971","28224","3038",,"http://www.vondel.humanities.uva.nl/ecartico/persons/3038","0","1","0","1","0","1"
"31963","79199","2935",,"http://www.vondel.humanities.uva.nl/ecartico/persons/2935","0","1","1","1","0","1"
"31960","28079","18037",,"http://www.vondel.humanities.uva.nl/ecartico/persons/18037","0","1","0","1","0","1"
